FID	IID	Active	Reinfs	ActivesD1	ReinfsD1	ActivesD2	ReinfsD2	ActivesD3	ReinfsD3	ActiveLG	ReinfsLG	ActivesD1LG	ReinfsD1LG	ActivesD2LG	ReinfsD2LG																																																																																																													
ILS	150	4686	1126	1084	284	1892	442	1672	400	3.670894954	3.051923916	3.035429738	2.45484486	3.277150614	2.646403726																																																																																																													
ILS	151	4125	1000	965	255	1489	356	1671	389	3.615529224	3.000434077	2.984977126	2.408239965	3.173186268	2.552668216																																																																																																													
P.J	152	497	252	21	20	204	110	272	122	2.697229343	2.403120521	1.342422681	1.322219295	2.311753861	2.045322979																																																																																																													
P.J	153	947	396	303	129	369	143	275	124	2.976808337	2.598790507	2.482873584	2.113943352	2.568201724	2.158362492																																																																																																													
BUB.BnJ	154	3554	887	1083	279	1030	263	1441	345	3.550839605	2.948412966	3.035029282	2.447158031	3.013258665	2.421603927																																																																																																													
BUB.BnJ	155	1222	441	326	130	403	147	493	164	3.087426457	2.645422269	2.514547753	2.117271296	2.606381365	2.170261715																																																																																																													
BXD42.TyJ	158	5309	1246	1655	393	1767	415	1887	438	3.725094521	3.095866453	3.219060332	2.595496222	3.247482261	2.619093331																																																																																																													
BXD42.TyJ	159	190	116	8	8	2	2	180	106	2.281033367	2.068185862	0.954242509	0.954242509	0.477121255	0.477121255																																																																																																													
BXD42.TyJ	160	5027	1180	1994	453	1705	396	1328	331	3.701395269	3.072249898	3.2999429	2.657055853	3.231979027	2.598790507																																																																																																													
I.LnJ	161	6508	1500	2180	500	2164	500	2164	500	3.813514272	3.176380692	3.338655666	2.699837726	3.335457901	2.699837726																																																																																																													
CE.J	162	5543	1291	1910	441	2208	500	1425	350	3.743823222	3.111262514	3.281260687	2.645422269	3.344195716	2.699837726																																																																																																													
CE.J	163	3488	899	1586	385	1179	302	723	212	3.542700969	2.954242509	3.200576927	2.586587305	3.071882007	2.481442629																																																																																																													
BXD31.TyJ	164	6694	1500	2181	500	2231	500	2282	500	3.825750581	3.176380692	3.338854746	2.699837726	3.34869419	2.699837726																																																																																																													
FVB.NJ	165	7544	1500	2448	500	2472	500	2624	500	3.877659244	3.176380692	3.388988785	2.699837726	3.393224116	2.699837726																																																																																																													
BALB.cByJ	167	5183	1222	823	222	2183	500	2177	500	3.714664993	3.087426457	2.915927212	2.348304863	3.339252634	2.699837726																																																																																																													
BALB.cByJ	168	6486	1500	2165	500	2162	500	2159	500	3.812043898	3.176380692	3.335658452	2.699837726	3.335056519	2.699837726																																																																																																													
BALB.cJ	169	1235	323	4	4	7	7	1224	312	3.092018471	2.51054501	0.698970004	0.698970004	0.903089987	0.903089987																																																																																																													
BALB.cJ	170	3964	934	24	23	1756	411	2184	500	3.598243192	2.970811611	1.397940009	1.380211242	3.244771761	2.614897216																																																																																																													
ISS	171	6125	1415	1875	435	2077	480	2173	500	3.787176992	3.151063253	3.273232834	2.639486489	3.317645543	2.682145076																																																																																																													
ISS	172	6425	1451	2214	500	1985	454	2226	497	3.807940721	3.161966616	3.345373731	2.699837726	3.297979244	2.658011397																																																																																																													
LP.J	175	2251	649	712	208	883	242	656	199	3.352568386	2.812913357	2.85308953	2.320146286	2.946452265	2.385606274																																																																																																													
SM.J	176	3382	866	843	232	951	255	1588	379	3.529301998	2.938019097	2.926342447	2.367355921	2.978636948	2.408239965																																																																																																													
CXB1.ByJ	177	451	224	142	92	3	3	306	129	2.655138435	2.352182518	2.155336037	1.968482949	0.602059991	0.602059991																																																																																																													
CXB1.ByJ	178	6	6	6	6	0	0	0	0	0.84509804	0.84509804	0.84509804	0.84509804	0	0																																																																																																													
CXB1.ByJ	179	13	13	7	7	3	3	3	3	1.146128036	1.146128036	0.903089987	0.903089987	0.602059991	0.602059991																																																																																																													
CXB1.ByJ	180	4892	1185	1068	281	1676	404	2148	500	3.689575216	3.074084689	3.028977705	2.450249108	3.224533063	2.607455023																																																																																																													
RIIIS.J	181	1144	436	454	158	363	143	327	135	3.058805487	2.640481437	2.658011397	2.201397124	2.561101384	2.158362492																																																																																																													
RIIIS.J	182	1200	442	139	91	534	175	527	176	3.079543007	2.646403726	2.146128036	1.963787827	2.728353782	2.245512668																																																																																																													
RIIIS.J	183	923	394	246	120	413	152	264	122	2.965671971	2.596597096	2.392696953	2.08278537	2.617000341	2.184691431																																																																																																													
C3H.HeJ	185	3459	884	447	159	794	225	2218	500	3.539076099	2.946943271	2.651278014	2.204119983	2.900367129	2.354108439																																																																																																													
C3H.HeJ	186	305	137	5	5	4	4	296	128	2.485721426	2.139879086	0.77815125	0.77815125	0.698970004	0.698970004																																																																																																													
C3H.HeJ	187	10	9	4	3	0	0	6	6	1.041392685	1	0.698970004	0.602059991	0	0																																																																																																													
C57BL.6J	188	393	153	11	9	0	0	382	144	2.595496222	2.187520721	1.079181246	1	0	0																																																																																																													
C57BL.6J	189	7	7	3	3	0	0	4	4	0.903089987	0.903089987	0.602059991	0.602059991	0	0																																																																																																													
C57BL.6J	190	1870	443	2	2	17	17	1851	424	3.272073788	2.64738297	0.477121255	0.477121255	1.255272505	1.255272505																																																																																																													
DBA.2J	191	2526	620	13	11	463	159	2050	450	3.402605242	2.7930916	1.146128036	1.079181246	2.666517981	2.204119983																																																																																																													
DBA.2J	192	1236	321	13	9	8	8	1215	304	3.0923697	2.507855872	1.146128036	1	0.954242509	0.954242509																																																																																																													
